part,link,model,supplier,quantity,cost/unit,total price
washer big,"https://www.aliexpress.us/item/3256807003597592.html?spm=a2g0o.productlist.main.1.627015f58Zj26N&aem_p4p_detail=20251210182444240842754769290001469297&algo_pvid=3c067e32-2c3a-49d7-9cbd-b9d5064da753&algo_exp_id=3c067e32-2c3a-49d7-9cbd-b9d5064da753-0&pdp_ext_f=%7B""order""%3A""7915""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%211.13%210.99%21%21%211.13%210.99%21%402103212317654198844147194ee44f%2112000039747824209%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa6651d2c%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=c62JSisGTfVE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007189912344%7C_p_origin_prod%3A&search_p4p_id=20251210182444240842754769290001469297_1",304 Stainless Steel Flat Washer M10x20x1.2 x10pcs,aliexpress,1,$1.45,$1.45
spacer,"https://www.aliexpress.us/item/3256809625412677.html?spm=a2g0o.productlist.main.4.72d96ea9QV2XSt&aem_p4p_detail=202512101913247250101560725980001398896&algo_pvid=61e7a285-ab7a-4a24-af11-2b1538e920aa&algo_exp_id=61e7a285-ab7a-4a24-af11-2b1538e920aa-3&pdp_ext_f=%7B""order""%3A""272""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%213.70%212.18%21%21%213.70%212.18%21%402101dedf17654228045626155eec38%2112000050248038598%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa6651d2c%3Bm03_new_user%3A-29895&curPageLogUid=eTUbxI9IUyZh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009811727429%7C_p_origin_prod%3A&search_p4p_id=202512101913247250101560725980001398896_2",304 Stainless Steel Unthreaded Standoff Spacer OD10xM8 L 4mm,aliexpress,1,$5.39,$5.39
M3 heat set insert,https://www.amazon.com/Yaocom-Inserts-Threaded-Printing-Components/dp/B0DG59PW2R/ref=sr_1_3?crid=1PSE1JMJ569LX&dib=eyJ2IjoiMSJ9.ysLAr15RdvqorLI_EVK3TSLCNdeFniuIUCV__89TlI75Bx7pZrRmPX8MEDyIvJ6Y7Xrhgg-7Sz7fTZUNJhpgts0txUk60GyqU_BE4GIw7wHYczuQHeEsVfqg9pnnhAs4Pv4CLGGPGZMylvREJ4MoqeQacn7r7kgtQG7-ly79kZDUibvKzzlzC1TlarMbcArUK0QF8jCXMuXTlIPGj3-vlZhY-1_iLIURtUHM02u1V38.VzcB5q3hFisKKwttlEsX8sHg9UIVRzCgkJE6rXfV2AU&dib_tag=se&keywords=m3%2Bheat%2Bset%2Binserts&qid=1768618052&sprefix=m3%2Bheat%2Bset%2B%2Caps%2C88&sr=8-3&th=1,M3 Threaded Inserts M3 x D5 x L4 Heat Set Inserts Brass,amazon,1,$9.99,$9.99
transmitter,https://radiomasterrc.com/products/pocket-radio-controller-m2?variant=46486346170560,Pocket Radio Controller (M2) ELRS,radiomaster,1,$64.99,$64.99
receiver,https://radiomasterrc.com/products/er3c-i-2-4ghz-elrs-pwm-receiver,ER3C-i 2.4GHz ELRS PWM Receiver,radiomaster,1,$16.99,$16.99
M3x6mm bolt,https://boltdepot.com/Metric_socket_button_head_Stainless_steel_18-8_(A-2)_3mm_x_0.5mm,7218,bolt depot,12,$0.07,$0.84
M3x8mm bolt,https://boltdepot.com/Metric_socket_button_head_Stainless_steel_18-8_(A-2)_3mm_x_0.5mm,7219,bolt depot,17,$0.07,$1.19
M3x12mm bolt,https://boltdepot.com/Metric_socket_button_head_Stainless_steel_18-8_(A-2)_3mm_x_0.5mm,7221,bolt depot,22,$0.09,$1.98
M3x16mm bolt,https://boltdepot.com/Metric_socket_button_head_Stainless_steel_18-8_(A-2)_3mm_x_0.5mm,7222,bolt depot,2,$0.11,$0.22
M4x8mm bolt,https://boltdepot.com/Metric_socket_button_head_Stainless_steel_18-8_(A-2)_4mm_x_0.7mm,6622,bolt depot,2,$0.12,$0.24
M3 nut,https://boltdepot.com/Metric_hex_nuts_Stainless_steel_18-8_(A-2),4773,bolt depot,27,$0.07,$1.89
M4 nut,https://boltdepot.com/Metric_hex_nuts_Stainless_steel_18-8_(A-2),4774,bolt depot,2,$0.07,$0.14
M6 lock nut,https://boltdepot.com/Metric_hex_nylon_insert_lock_nuts_Stainless_steel_18-8_(A-2),4795,bolt depot,1,$0.11,$0.11
23,,,,101,,$317.97
